Name,Operator,Type,Status,Completed,Year,State,Region,Cost,Miles,Capacity,Diameter,Pipeline,Authority,Docket
Leidy South Project,Dominion Transmission,Expansion,Filed,,2017,PA,Northeast, 210 ,, 155 ,,Interstate,FERC,CP15-492
Access South Project,Texas Eastern Transmission co,Reversal,Filed,,2017,"PA,WV,KY,TN,AL,MS","Northeast,Midwest",,, 320 ,,Interstate,FERC,CP16-3
2017 Vector Pipeline Mainline,Vector Pipeline,Reversal,Announced,,2017,MI,Midwest,,," 1,300 ",42,Interstate,FERC,na
Expansion Project,,,,,,,,,,,,,,
Bakken Header Supply Lateral Project,Northern Border Pipeline,Lateral,Announced,,2017,ND,Central,, 64 , 295 ,16,Interstate,FERC,na
Broad Run Expansion Project,Tennessee Gas Pipeline,Expansion,Announced,,2017,KY,Southeast,,, 200 ,,Interstate,FERC,na
Gulf Trace Expansion Project,Transcontinental Gas Pipeline,Expansion,Approved,,2017,LA,Southeast,, 8 ," 1,200 ",,Interstate,FERC,CP15-29
Dalton Expansion Project,Transcontinental Gas Pipeline,Expansion,Approved,,2017,"AL,GA",Southeast, 275 , 111 , 448 ,"16,30",Interstate,FERC,CP15-117
Hillabee Expansion phase 1,Transcontinental Gas Pipeline,Expansion,Approved,,2017,AL,Southeast, 460 , 20 , 818 ,"42,48",Interstate,FERC,CP15-16
EQM Appalachia Header Pipeline,ETC Katy Intrastate Pipeline,Expansion,Announced,,2017,PA,Northeast,, 32 , 500 ,,,na,na
Salem Lateral Project,Algonquin Gas Transmission,Lateral,Approved,,2017,MA,Northeast, 63 , 1 , 115 ,16,Interstate,FERC,CP14-522
Lebanon lateral project phase 3,ANR Pipeline,reversal,Announced,,2017,OH,Northeast,,,,,Interstate,FERC,na
PennEast Pipeline Co,PennEast Pipeline Co,New Pipeline,Filed,,2017,PA,Northeast," 1,000 ", 118 ," 1,107 ","36,24",Interstate,FERC,CP15-558
Gulf Markets Expansion (bi-directional),Texas Eastern Transmission co,Reversal,Approved,,2017,"PA,OH,WV,KY,TX","Northeast,Central",,, 650 ,,Interstate,FERC,CP15-90
Rover Pipeline Project,ET Rover Pipeline,New Pipeline,Approved,,2017,"PA,WV,OH,MI,CN","Northeast,Canada"," 4,220 ", 711 ," 3,250 ",42,Interstate,FERC,CP15-93
Leach XPress project,Columbia Pipeline,New Pipeline,Filed,,2017,"OH,PA,WV",Northeast," 1,400 ", 160 ," 1,530 ",,Interstate,FERC,CP15-514
Dakota Pipeline,"WBI Energy, In",New Pipeline,Announced,,2017,"ND,MN",Midwest, 650 , 24 , 400 ,,Interstate,FERC,
Mountaineer XPress Pipeline,Columbia Gas Transmission,Expansion,Announced,,2017,WV,Northeast,,165,2500,, Interstate ,FERC,na
Project (MXP),,,,,,,,,,,,,,
Northern Supply Access Project,Texas Gas Transmission,Reversal,Filed,,2017,"OH,IN,KY,TN,MS,LA","Northeast,Southeast", 149 ,, 384 ,,Interstate,FERC,CP15-513
ND to MN,MDU Resources Group,New Pipeline,Announced,,2017,"ND,MN","Central,Midwest", 650 , 375 , 400 ,24,Interstate,FERC,
Virginia Southside Expansion Project II,Transcontinental Gas Pipeline,Lateral,Filed,,2017,VA,Northeast,, 4 , 250 ,24,Interstate,FERC,CP15-118
South to North project,Iroquois gas pipeline,Reversal,Announced,,2017,"NY,CN","Northeast,Canada", -   , -   , 650 ,,Interstate,FERC,
Broad Run Expansion Project,Tennessee Gas Pipeline,Expansion,Approved,,2017,WV,,,, 200 ,,Interstate,FERC,CP15-77
Susquehanna West Project,Tennessee Gas Pipeline Company,Expansion,Filed,,2017,PA,Northeast, 146 , 8 , 145 ,36,Interstate,FERC,CP15-148
Bobcat Storage Expansion,Port Barre Investments LLC,Lateral,Construction,,2017,LA,Southwest, 30 , 13 ," 1,800 ",20,Interstate,FERC,CP09-19
Mier-Monterrey,Kinder Morgan,Expansion,Announced,,2017,"TX,MX","Southwest,Mexico",,, 700 ,,,na,na
Nueva Era Pipeline,Nueva Era Pipeline,New Pipeline,Announced,,2017,"TX,MX","Southwest,Mexico",, 200 , 600 ,30,,na,na
Adair Southwest Project,Texas Eastern Transmission co,Reversal,Filed,,2017,"PA,WV,OH,KY","Northeast,Southeast",,, 200 ,,Interstate,FERC,CP16-3
New York Bay Expansion Project,Transcontinental Gas Pipeline,Expansion,Filing,,2017,NY,Northeast,112,,115,, Interstate ,FERC,CP15-527
Triad Expansion Project,Tennessee Gas Pipeline Company,Expansion,Filed,,2017,PA,Northeast,, 7 , 180 ,36,Interstate,FERC,CP15-520
Demicks Lake pipeline project,WBI Energy Transmission,Lateral,Announced,,2017,ND,,, 22 , 222 ,24,Interstate,FERC,na
CPV Valley lateral project,Millennium Pipeline,Lateral,Pre-filed,,2017,NY,Northeast,, 8 , 130 ,,Interstate,FERC,PF15-23
NEXUS Gas Transmission,Spectra Energy,New Pipeline,Filed,,2017,"OH,MI,CN","Northeast,Canada", -   , 250 ," 1,500 ",,interstate,FERC,CP16-22
Transco to Charleston Project,Dominion Carolina Gas Transmission,Expansion,Pre-filing,,2017,SC,Southeast,, 55 , 80 ,12,Interstate,FERC,PF15-29
Comanche Trail Pipeline,Comanche Trail Pipeline,New Pipeline,Announced,,2017,TX,Southwest,, 195 ," 1,100 ",42,Intrastate,state,na
Pacific Connector Gas Pipeline,Northwest/PG&E/Chicago Prtnrs,Lateral,Filed,,2017,OR,Western," 1,700 ", 230 ," 1,000 ",36,Interstate,FERC,CP13-492
Northern Lights 2017 Expansion,Northern Natural Gas,Expansion,Announced,,2017,NM,Central,, 7 , 172 ,12,Interstate,FERC,na
Gibraltar and Buffalo Creek Pipelines,Gibraltar and Buffalo Creek Pipelines,Lateral,Announced,,2017,PA,Northeast,270,16,1000, 36 ,,na,na
Nueva Era Pipeline,Nueva Era Pipeline,New Pipeline,Announced,,2017,"TX,MX","Southwest,Mexico",, 190 , 504 ,30,,na,na
San Elizario Crossing Project,Comanche Trail Pipeline LLC,Expansion,Filed,,2017,"TX,MX","Southwest,Mexico", 3 ,," 1,100 ",42,Interstate,FERC,CP15-503
Cameron Access Project,Columbia Gulf Transmission,Reversal,Approved,,2017,LA,Central, 100 , 34 , 800 ,"36,30",Interstate,FERC,CP15-109
MARC II pipeline,Central New York Oil & Gas,Lateral,Announced,,2017,PA,Northeast,,30,1000, 30 , Interstate ,FERC,na
Gulf Trace Expansion Project,Transcontinental Gas Pipeline,Expansion,Approved,,2017,LA,Southwest, 278 , 8 ," 1,200 ",36,Interstate,FERC,CP15-29
South Texas Expansion Project,Texas Eastern Transmission,Expansion,Applied,,2017,"TX,MX","Southwest,Mexico",130,,400,, Interstate ,FERC,CP15-499
Atlantic Bridge project,Algonquin Gas Transmission,Expansion,Applied,,2017,"NJ,NY,CT,RI,MA",Northeast, -   , -   , 153 ,,Interstate,FERC,CP16-9
Cameron Pipeline Expansion,Cameron Interstate Pipeline,Expansion,Pre-filed,,2017,LA,Southwest, -   , 3 ," 1,540 ",36,Interstate,FERC,PF12-12
Roadrunner Gas Transmission phase 2,ONEOK Partners/ Fermaca Infrastructure,New Pipeline,Announced,,2017,"TX,MX","Southwest,Mexico", 313 ,, 400 ,30,Interstate,FERC,na
Gaines County Crossover compressor station,Northern Natural Gas,Expansion,Applied,,2017,TX,Southwest, 41 ,, 210 ,,Interstate,FERC,CP15-552
Virginia Southside II,Transcontinental Gas Pipeline,Expansion,Approved,,2017,NJ,Northeast, 191 , 4 , 250 ,24,Interstate,FERC,CP15-118
Florida Southeast Connection,NextEra Energy,New Pipeline,Approved,,2017,FL,southeast, 550 , 126 , 600 ,36,interstate,FERC,CP14-554
Sabal Trail Project,"Spectra Energy Corp/NextEra Energy, Inc",New Pipeline,Approved,,2017,"AL,GA,FL",Southeast," 3,200 ", 465 ," 1,000 ",,interstate,FERC,CP15-17
Prairie State Pipeline,Prairie State Pipeline,New Pipeline,Announced,,2017,IL,Midwest,,140,1500,, Interstate ,FERC,na
South Carolina Pipeline,Dominion Midstream Partners LP,New Pipeline,Pre-filed,,2017,SC,Southeast,119,60,80,, Interstate ,FERC,na
UGI Sunbury Pipeline,UGI Energy Services,Lateral,Filed,,2017,PA,Northeast,150,35,200, 20 , Interstate ,FERC,CP15-525
Interconnect Pipeline Project,Clarksville Gas & Water Department,Lateral,Pre-filed,,2017,"KY,TN",Southeast, -   , 23 , 52 ,12,interstate,FERC,CP14-101
Trunkline Backhaul Project,Trunkline Gas Co,Reversal,Applied,,2017,"IL,KY,TN,MS","Midwest,Southwest", 51 ,, 750 ,,Interstate,FERC,CP15-94
Panhandle Backhaul Project,Panhandle Eastern Pipeline,Reversal,Approved,,2017,"OH,IN,IL",Northeast, 58 ,, 750 ,,Interstate,FERC,CP15-94
Continent to Coast Expansion Project,Portland Natural Gas Transmission System,Expansion,Announced,,2016,"CN,ME","Canada,Northeast", -   , -   , 132 ,,Interstate,FERC,
Western Kentucky Lateral Project,Texas Gas Transmission,Lateral,Construction,,2016,KY,"Southeast,Northeast",, 23 , 230 ,24,Interstate,FERC,CP15-105
Chicago Market Expansion Project,Natural Gas Pipeline Company of America,Expansion,Filed,,2016,IL,Midwest, 100 ,,238,,Interstate,FERC,CP15-505
Rock Springs Expansion,Transcontinental Gas Pipelne,Lateral,Construction,,2016,NJ,Northeast, 80 , 11 , 192 ,20,Interstate,FERC,CP14-504
White Oak Mainline Expansion Project,Eastern Shore Natural Gas,Lateral,Filed,,2016,PA,Northeast,,,45,, Interstate ,FERC,CP15-18
Perryville Storage Laterals,Perryville Gas Storage LLC,Lateral,Construction,,2016,LA,Southwest,12,14.36,600," 24,36 ", Interstate ,FERC,CP09-418
Connecticut Expansion Project,Tennessee Gas Pipeline,Expansion,Approved,,2016,NY,Northeast, 81 , 13 , 72 ,"24,36",Interstate,FERC,CP14-529
Wright Interconnect Project,Iroquois gas pipeline,Expansion,Announced,,2016,NY,Northeast,75,0,650,, Interstate ,FERC,CP13-502
Garden State Expansion Project,Transcontinental Gas PipeLine,Expansion,Approved,,2016,NJ,,,,180,, Interstate ,FERC,CP15-89
Great Basin Project Scope,Great Basin Energy Development,Lateral,Announced,,2016,"NV,CA",Southwest, 346 , 125 , 250 ,20,Interstate,FERC,na
Garden State Expansion,Transcontinental Gas Pipeline,Expansion,Announced,,2016,NJ,Northeast,,, 180 ,,Interstate,FERC,CP15-89
Algonquin Incremental Market (AIM),Algonquin Gas Transmission,Expansion,Construction,,2016,"NJ,NY,CT,RI,MA",Northeast, 972 , 37 , 342 ,42,Interstate,FERC,CP14-96
Presidio Crossing Project,Trans-Pecos Pipeline LLC,Expansion,Filed,,2016,"TX,MX","Southwest,Mexico", 4 ,," 1,300 ",,Interstate,FERC,CP15-5
New market project,Dominion Transmission,New Pipeline,Filed,,2016,PA,Northeast, 159 , -   , 112 ,,Interstate,FERC,CP14-497
Southern Indiana Market Lateral Project,Texas Gas Transmission,Lateral,Construction,,2016,"KY,IN","Southeast,Midwest", 95 , 30 , 54 ,20,Interstate,FERC,CP15-14
Niobrara gas lateral,Trailblazer Pipeline Co,Expansion,Applied,,2016,CO,Central, 21 , 16 , 90 ,10,Interstate,FERC,CP15-27
Kentucky Lateral project,Texas Gas Transmission,Lateral,Filed,,2016,KY,Southeast,81,22.5,230, 24 , Interstate ,FERC,CP15-105
Magnum Gas Storage Link,Magnum Gas Storage LLC,Lateral,Construction,,2016,UT,Central,,61.5,, 36 , Interstate ,FERC,CP10-22
Loudon Expansion Project,East Tennessee Natural Gas,Expansion,Approved,,2016,TN,,, 10 , 40 ,16,Interstate,FERC,CP15-91
Roadrunner Gas Transmission phase 1,ONEOK Partners/ Fermaca Infrastructure,New Pipeline,Announced,,2016,"TX,MX","Southwest,Mexico", 133 , 200 , 170 ,30,Interstate,FERC,CP15-161
Utica Access Project,Columbia Gas Transmission,Expansion,Construction,,2016,WV,Northeast,45,5,205,, Interstate ,FERC,CP15-87
Columbia to Eastover Pipeline,Dominion Carolina Gas Transmission,New Pipeline,Approved,,2016,SC,Southeast,,29,18,, Interstate ,FERC,CP15-504
Creole Trail Expansion Project 2,Cheniere Creole Trail Pipeline,Reversal,Approved,,2016,LA,Southwest, 52 , 0 , 765 ,42,Interstate,FERC,CP12-351-
Impulsora Pipeline,Impulsora Pipeline,New Pipeline,Approved,,2016,"TX,MX",Southwest,,," 1,120 ",,Interstate,FERC,CP14-513
Jacksonville Expansion Project,Florida Gas Transmission Company,Expansion,Approved,,2016,"FL,NY",,, 3 , 60 ,,Interstate,FERC,CP15-144
Roadrunner Gas Transmission Border Crossing Facilities,ONEOK Partners/ Fermaca Infrastructure,New Pipeline,Completed,2/25/16,2016,"TX,MX","Southwest,Mexico", 1 , -   , 875 ,30,Interstate,FERC,CP15-161
Pipeline Zone Three Capacity Enhancement,Rockies Express Pipeline,Reversal,Construction,,2016,"OH,IN,IL","Northeast,Midwest",,,800,, Interstate ,FERC,CP15-137
Malaga Lateral Project,Transwestern Pipeline,Expansion,Approved,,2016,NM,Southwest, 23 , 15 , 200 ,,Interstate,FERC,CP16-11
Delaware Basin Express Pipeline Project,Delaware Basin Express,Lateral,Announced,,2016,TX,Central,,,600,, Intrastate ,State,na
Sooner Trails Project,Southern Star Central Gas Pipeline,Expansion,Announced,,2016,OK,Southwest,, 300 ," 1,400 ",36,Interstate,FERC,na
Southern Indiana Market Project,Texas Gas Transmission,Lateral,Approval,,2016,"KY,IN","Southeast,Midwest", 95 , 30 , 162 ,20,Interstate,FERC,CP15-14
Ohio-Louisiana Access project,Texas Gas Transmission,Reversal,Construction,,2016,"OH,IN,KY,TN,MS,LA","Northeast,Southwest", 52 ,, 626 ,,Interstate,FERC,CP14-553
Clarington Project,Dominion Transmission,New Pipeline,Approved,,2016,WV,Northeast, 77 , -   , 250 ,,Interstate,FERC,CP14-496
Northern Access 2016 Project,National Fuel Gas Supply Corp,Expansion,Filed,,2016,"PA,NY",Northeast,449,97,350, 24 , Interstate ,FERC,CP15-115
Ohio Valley Connector,Equitrans,Expansion,Applied,,2016,"WV,OH",Northeast, 415 , 50 , 850 ,"30,24",Interstate,FERC,CP15-41
MoBay Storage Line,MoBay Storage Hub,Lateral,Approved,,2016,AL,Southeast,,18.5,1000," 36,24 ", Interstate ,FERC,CP06-398
Lebanon West II,Dominion Transmission,Expansion,Approved,,2016,"PA,OH","Northeast,Norhteast", 112 ,, 130 ,,Interstate,FERC,CP14-555
SESH Expansion Project,Southeast Supply Header LLC,Expansion,Completed,11/12/15,2015,"LA,MS,AL","Southwest,Southeast", 48 ,, 45 ,,Interstate,FERC,CP14-87
Junction Platform Project,Discovery Gas Transmission LLC,New Pipeline,Completed,2/7/15,2015,GM,Gulf of Mexico, 126 , 20 , 405 ,"30,12",Interstate,FERC,CP12-516
Virginia Southside Expansion,Transcontinental Gas Pipeline,Expansion,Completed,8/27/15,2015,VA,Northeast, 300 , 100 , 270 ,24,Interstate,FERC,CP13-30
Mobile Bay South III Expansion Project,Transcontinental Gas Pipeline,Expansion,Completed,3/27/15,2015,AL,Southeast,50,,225,, Interstate ,FERC,CP13-523
Woodbridge lateral,Transcontinental Gas Pipeline,Lateral,Completed,3/26/15,2015,NJ,Northeast, 32 , 2 , 264 ,20,Interstate,FERC,CP14-18
Kingsport Expansion,East Tennessee Natural Gas,Expansion,Completed,1/1/15,2015,TN,Southeast,0,15.6,61,, Interstate ,FERC,CP13-534
Line N West Side Expansion and Modernization Project,NiSource Gas Transmission & Storage,Expansion,Completed,9/24/15,2015,PA,Northeast,76.1,23,175, 24 , Interstate ,FERC,CP14-70
Transco Rockaway Delivery Project,Transcontinental Gas Pipeline,New Pipeline,Completed,5/14/15,2015,NY,Northeast,12,3.2,647, 26 , Interstate ,FERC,CP13-36
Edinburg Lateral,Houston Pipe Line,Expansion,Completed,6/8/15,2015,"TX,MX","Southwest,Mexico",,23,140, 24 , Interstate ,FERC,CP14-13
Carty Lateral Project,Gas Transmission Northwest LLC,Lateral,Completed,11/4/15,2015,OR,Northwest, 54 , 24 , 175 ,20,Interstate,FERC,CP12-494
East Side Expansion Project,NiSource Gas Transmission & Storage,Expansion,Completed,9/30/15,2015,PA,Northeast,0,19,650,, Interstate ,FERC,CP14-17
2015 Elko Area Expansion Project,Paiute Pipeline,Lateral,Completed,10/7/15,2015,NV,Southwest,, 35 , 22 ,,Interstate,FERC,CP14-509
Ohio Pipeline Energy Network,Texas Eastern Transmission,Reversal,Completed,12/1/15,2015,"OH,KY,TN,AL,MS,LA","Northeast,Southwest",468,76,550, 30 , Interstate ,FERC,CP14-68
Uniontown to Gas City Expansion Project (U2GC) (bi-directional),Texas Eastern Transmission co,Reversal,Completed,8/28/15,2015,"PA,OH,IN","Northeast,Midwest",56,,425,, Interstate ,FERC,CP14-104
Sulphur Springs Compression Project,ANR Pipeline,Expansion,Completed,10/22/15,2015,IN,Midwest, 183 ,, 134 ,,Interstate,FERC,CP14-514
Leidy Southeast Expansion,Transcontinental Gas Pipeline,Expansion,Completed,,2015,PA,Northeast, 610 , 30 , 525 ,42,Interstate,FERC,CP13-551
Broad Run Flexibility Project,Tennessee Gas Pipeline,Expansion,Completed,,2015,WV,Northeast, 782 ,, 590 ,,Interstate,FERC,na
Creole Trail Expansion Project 1,Cheniere Creole Trail Pipeline,Reversal,Completed,4/27/15,2015,LA,Southwest, 52 , 0 , 765 ,42,Interstate,FERC,CP12-351-
East Side Expansion Project,Columbia Pipeline,Expansion,Completed,10/30/15,2015,NJ,Northeast, 269 , 19 , 312 ,20,Interstate,FERC,CP14-17
Northern Access 2015 Project,National Fuel Gas Supply Corp,Expansion,Completed,12/3/15,2015,NY,Northeast, 66 ,, 140 ,,Interstate,FERC,CP14-100
Tuscarora Lateral Project,Empire Pipeline,Lateral,Completed,11/4/15,2015,"PA,NY",Northeast, 44 , 17 , 54 ,"12,16",Interstate,FERC,CP14-112
Niagara Expansion Project,Tennessee Gas Pipeline,Expansion,Completed,10/1/15,2015,"NY,CN","Northeast,Canada",27.5,3.1,158, 30 , Interstate ,FERC,CP14-88
West Leg 2015 Expansion,Northern Natural Gas,Expansion,Completed,10/31/15,2015,NE,central,16,13,31,, Interstate ,FERC,CP15-61
Zone 3 East-to-West Project,Rockies Express Pipeline,Reversal,Completed,9/1/15,2015,"OH,IN,IL","Northeast,Midwest",79,,1200,, Interstate ,FERC,CP14-498
Seneca lateral,Rockies Express Pipeline,Lateral,Completed,6/18/14,2014,OH,Northeast, 75 , 14 , 250 ,24,Interstate,FERC,CP13-539
Panda Power Lateral Project,Gulf Crossing,Lateral,Completed,5/30/14,2014,TX,Southwest, 26 , 17 , 125 ,16,Interstate,FERC,CP13-64
Rose Lake Expansion Project,Tennessee Gas Pipeline,Expansion,Completed,10/27/14,2014,PA,Northeast, 92 , -   , 230 ,,Interstate,FERC,CP13-3
Eagle Ford Shale Pipeline System Expansion,NET Mexico Pipeline,New Pipeline,Completed,10/30/14,2014,"TX,MX","Southwest,Mexico", -   , 124 ," 2,300 ",42,Interstate,FERC,CP13-482
High Plains 2013 Expansion Project,Colorado Interstate Gas,Lateral,Completed,3/11/14,2014,CO,Central, 25 , 8 , 225 ,24,Interstate,FERC,CP12-496
Southeast Market Expansion,Gulf South Pipeline,Expansion,Completed,,2014,"MS,AL",Southeast,287,70,510.5," 24,30 ", Interstate ,FERC,CP13-96
Sierrita Pipeline Project,Sierrita Gas Pipeline,Lateral,Completed,10/22/14,2014,"AZ,MX","Southwest,Mexico",200,60.9,201, 36 , Interstate ,FERC,CP13-73/74
Cherokee Natural Gas Pipeline Project,XcelEnergy,Lateral,Completed,,2014,CO,Central, 110 , 34 , 189 ,24,Intrastate,State,na
TETCO TEAM 2014 Expansion,Texas Eastern Transmission,Expansion,Completed,11/7/14,2014,PA,Northeast, 500 , 34 , 600 ,36,Interstate,FERC,CP13-84
Line MB extension project,Columbia Gas Transmission,Expansion,Completed,10/28/14,2014,MD,Northeast,132,21,, 26 , Interstate ,FERC,CP13-8
Northeast Connector,Transcontinental Gas Pipeline,Expansion,Completed,11/7/14,2014,PA,Northeast,,, 100 ,,Interstate,FERC,CP13-132
