Number,Name,Expiration,Issued,Status,Capacity,Company,Waterway,State
2106,MCCLOUD-PIT                        ,7/31/11,8/18/61,Expired,340500,PACIFIC GAS AND ELECTRIC CO      (C,PIT RIVER                          ,CA
2079,MIDDLE FORK AMERICAN RIVER         ,2/28/13,3/1/63,Expired,223753,PLACER COUNTY WATER AGENCY     (CA),MIDDLE FORK AMERICAN R             ,CA
2246,YUBA RIVER                         ,4/30/16,5/16/63,Active,361900,YUBA COUNTY WATER AGENCY       (CA),OREGON CREEK                       ,CA
2310,DRUM-SPAULDING                     ,4/30/13,6/24/63,Expired,181205,PACIFIC GAS AND ELECTRIC CO      (C,SOUTH YUBA RIVER                   ,CA
2266,YUBA-BEAR                          ,4/30/13,6/24/63,Expired,79920,NEVADA IRRIGATION DISTRICT     (CA),SOUTH YUBA RIVER                   ,CA
2312,GREAT WORKS                        ,3/31/02,12/9/63,Expired,7655,PENOBSCOT RIVER RESTORATION TRUST  ,PENOBSCOT RIVER                    ,ME
2299,NEW DON PEDRO                      ,4/30/16,3/10/64,Active,168015,TURLOCK IRRIGATION DISTRICT    (CA),TUOLUMNE R                         ,CA
2179,MERCED RIVER                       ,2/28/14,4/8/64,Expired,89100,MERCED IRRIGATION DISTRICT     (CA),MERCED RIVER                       ,CA
2464,WEED DAM                           ,6/30/15,7/13/65,Expired,620,GRESHAM VILLAGE OF             (WI),RED RIVER                          ,WI
2203,HOLT LOCK AND DAM                  ,8/31/15,10/7/65,Expired,46944,ALABAMA POWER CO               (AL),BLACK WARRIOR RIVER                ,AL
2503,KEOWEE -TOXAWAY (PS&CON)           ,8/31/16,9/26/66,Active,867600,"DUKE ENERGY CAROLINAS, LLC.        ",LITTLE RIVER                       ,SC
2485,NORTHFIELD MOUNTAIN PUMPED STORAGE ,4/30/18,5/14/68,Active,1119200,FIRSTLIGHT HYDRO GENERATING CO.    ,CONNECTICUT RIVER                  ,MA
2684,ARPIN                              ,4/30/19,6/3/69,Active,1450,FLAMBEAU HYDRO LLC.                ,CHIPPEWA EAST FORK                 ,WI
2685,BLENHEIM GILBOA PUMPED STORAGE     ,4/30/19,6/6/69,Active,1160000,NEW YORK POWER AUTHORITY           ,SCH0HARIE CREEK                    ,NY
2467,MERCED FALLS                       ,2/28/14,7/28/69,Expired,3440,PACIFIC GAS AND ELECTRIC CO      (C,MERCED RIVER                       ,CA
2680,LUDINGTON PUMPED STORAGE           ,6/30/19,7/30/69,Active,1657500,CONSUMERS ENERGY CO           (MI) ,LAKE MICHIGAN                      ,MI
2413,WALLACE  (PS&CON)                  ,5/31/20,8/6/69,Active,324000,GEORGIA POWER CO               (GA),OCONEE                             ,GA
2669,BEAR SWAMP (PS&CON)                ,3/31/20,4/28/70,Active,677250,"BEAR SWAMP POWER COMPANY, LLC      ",DEERFIELD RIVER                    ,MA
2639,CORNELL                            ,11/30/23,12/26/73,Active,30750,NORTHERN STATES POWER CO       (WI),CHIPPEWA RIVER                     ,WI
2628,R L HARRIS                         ,11/30/23,12/27/73,Active,135000,ALABAMA POWER CO               (AL),TALLAPOOSA RIVER                   ,AL
2570,RACINE                             ,11/30/23,12/27/73,Active,47500,"AEP GENERATION RESOURCES, INC.     ",OHIO RIVER                         ,WV
1894,PARR SHOALS ((PS&CON)              ,6/30/20,8/28/74,Active,526080,SOUTH CAROLINA ELECTRIC&GAS CO (SC),BROAD RIVER                        ,SC
619,BUCKS CREEK                        ,12/31/18,12/19/74,Active,84800,PACIFIC GAS AND ELECTRIC CO      (C,NOTTH FORK FEATHER RIVER           ,CA
2736,AMERICAN FALLS                     ,2/28/25,3/31/75,Active,92400,IDAHO POWER CO                 (ID),SNAKE RIVER                        ,ID
2614,GREENUP                            ,2/28/26,3/29/76,Active,70560,HAMILTON CITY OF               (OH),OHIO RIVER                         ,OH
2735,HELMS PUMPED STORAGE               ,4/30/26,5/18/76,Active,1053000,PACIFIC GAS AND ELECTRIC CO      (C,NORTH FORK KINGS RIVER             ,CA
1121,BATTLE CREEK                       ,7/31/26,8/13/76,Active,36100,PACIFIC GAS AND ELECTRIC CO      (C,SOUTH FORK BATTLE CREEK            ,CA
2716,BATH COUNTY PUMPED STORAGE         ,12/31/26,1/10/77,Active,2484000,ALLEGHENY GENERATING CO        (VA),LITTLE BACK CREEK                  ,VA
2725,ROCKY MOUNTAIN PUMPED STORAGE      ,12/31/26,1/21/77,Active,904000,GEORGIA POWER CO               (GA),OOSTANAULA                         ,GA
2740,BAD CREEK PUMPED STORAGE           ,7/31/27,8/1/77,Active,1065000,"DUKE ENERGY CAROLINAS, LLC.        ",WHITEWATER RIVER                   ,SC
120,BIG CREEK NO 3                     ,2/28/09,9/7/77,Expired,165375,SOUTHERN CALIFORNIA EDISON CO  (CA),SAN JOAQUIN RIVER                  ,CA
2615,BRASSUA                            ,3/31/12,9/16/77,Expired,4180,BRASSUA HYDROELECTRIC LTD PART (ME),MOOSE RIVER                        ,ME
2426,SOUTH SWP HYDROPOWER (PS&CON)      ,1/31/22,3/22/78,Active,1679100,CALIFORNIA DEPT-WTR RESOURCES  (CA),CALIFORNIA AQUEDUCT                ,CA
2596,STATION 160                        ,12/31/93,4/13/78,Expired,340,ROCHESTER GAS & ELECTRIC CORP  (NY),GENESEE RIVER                      ,NY
2742,SOLOMON GULCH                      ,5/31/28,6/21/78,Active,12000,COPPER VALLEY ELECTRIC ASSN.       ,SOLOMON GULCH                      ,AK
2829,LOVELAND                           ,3/8/16,6/30/78,Active,900,LOVELAND CITY OF               (CO),BIG THOMPSON RIVER                 ,CO
67,"BIG CR NOS 2A,8 & EASTWOOD (PS&CON)",2/28/09,8/9/78,Expired,373320,SOUTHERN CALIFORNIA EDISON CO  (CA),SOUTH FORK SAN JOAQUIN RIVER       ,CA
2781,NEW MELONES T.L.                   ,8/31/28,9/18/78,Active,0,PACIFIC GAS AND ELECTRIC CO      (C,,CA
2800,LAWRENCE                           ,11/30/28,12/4/78,Active,16800,"ESSEX COMPANY, LLC                 ",MERRIMACK RIVER                    ,MA
2842,IDAHO FALLS                        ,1/31/29,2/8/79,Active,27000,IDAHO FALLS CITY OF            (ID),SNAKE RIVER                        ,ID
2284,BRUNSWICK                          ,2/28/29,2/9/79,Active,19000,"BROOKFIELD WHITE PINE HYDRO, LLC.  ",ANDROSCOGGIN RIVER                 ,ME
2808,BARKER'S MILL                      ,1/31/19,2/23/79,Active,1500,KEI (MAINE) POWER MGMT (III) LLC   ,LITTLE ANDROSCOGGIN RIVER          ,ME
2788,COLLIERSVILLE                      ,2/28/19,3/13/79,Active,1450,"GOODYEAR LAKE HYDRO, LLC           ",NORTH BRANCH SUSQUEHANNA RIVER     ,NY
2821,PORTLAND NO 1 & 2                  ,2/28/29,3/22/79,Active,35625,CITY OF PORTLAND WATER BUREAU      ,BULL RUN RIVER                     ,OR
2818,GREEN LAKE                         ,3/31/29,4/5/79,Active,18540,SITKA CITY OF & BOROUGH OF     (AK),VODOPAD R                          ,AK
199,SANTEE-COOPER                      ,3/31/06,5/9/79,Expired,134520,SOUTH CAROLINA PUB SERV AUTH   (SC),SANTEE RIVER                       ,SC
2809,AMERICAN TISSUE                    ,4/30/19,5/9/79,Active,1000,KEI (MAINE) POWER MGMT (III) LLC   ,COBBOSSEECONTEE STREAM             ,ME
1904,VERNON                             ,4/30/19,6/25/79,Active,32400,TRANSCANADA HYDRO NORTHEAST INC.   ,CONNECTICUT RIVER                  ,VT
2839,GREAT FALLS                        ,5/31/19,6/29/79,Active,2050,LYNDONVILLE VILLAGE OF         (VT),PASSUMPSIC RIVER                   ,VT
1855,BELLOWS FALLS                      ,4/30/19,8/3/79,Active,40800,TRANSCANADA HYDRO NORTHEAST INC.   ,CONNECTICUT RIVER                  ,VT
2741,PINE FLAT                          ,8/31/29,9/25/79,Active,165000,KINGS RIVER CONSERVATION DIST  (CA),KINGS RIVER                        ,CA
2823,LOWER BEAVER FALLS                 ,9/30/19,10/18/79,Active,1000,"ALGONQUIN POWER, LLC.              ",BEAVER RIVER                       ,NY
96,KERCKHOFF                          ,11/30/22,11/8/79,Active,162720,PACIFIC GAS AND ELECTRIC CO      (C,SAN JOAQUIN R                      ,CA
1892,WILDER                             ,4/30/19,12/10/79,Active,35600,TRANSCANADA HYDRO NORTHEAST INC.   ,CONNECTICUT RIVER                  ,VT
1869,THOMPSON FALLS                     ,12/31/25,12/28/79,Active,92600,NORTHWESTERN CORPORATION           ,CLARK FORK                         ,MT
2894,BLACK BROOK DAM                    ,12/31/20,1/22/80,Active,650,FLAMBEAU HYDRO LLC.                ,APPLE RIVER                        ,WI
606,KILARC - COW CREEK                 ,3/27/07,2/8/80,Expired,4440,PACIFIC GAS AND ELECTRIC CO      (C,SOUTH COW CREEK                    ,CA
2876,PINE FLAT T.L.                     ,8/31/29,3/24/80,Active,0,CALIFORNIA DEPT-WTR RESOURCES  (CA),,CA
2804,GOOSE RIVER                        ,2/29/20,3/24/80,Active,375,GOOSE RIVER HYDRO INC          (ME),GOOSE RIVER                        ,ME
2926,RUSSEL D SMITH PEC 22.7            ,2/28/30,3/27/80,Active,6100,EAST COLUMBIA BASIN IRR DIST   (WA),POTHOLES EAST CANAL                ,WA
2837,GRANBY                             ,3/31/20,4/7/80,Active,10080,"ERIE BOULEVARD HYDROPOWER, L.P.    ",OSWEGO RIVER                       ,NY
175,BALCH                              ,4/30/26,4/18/80,Active,130500,PACIFIC GAS AND ELECTRIC CO      (C,NORTH FORK KINGS RIVER             ,CA
1889,TURNERS FALLS                      ,4/30/18,5/5/80,Active,67709,FIRSTLIGHT HYDRO GENERATING CO.    ,CONNECTICUT RIVER                  ,VT
2987,CORNWELL                           ,4/30/30,5/7/80,Active,12,CORNWELL HOWARD W & VERNA J        ,MERRILL CREEK                      ,CA
2883,FRIES                              ,5/31/20,6/10/80,Active,5213,"AQUENERGY SYSTEMS, LLC             ",NEW RIVER                          ,VA
2832,LUCKY PEAK                         ,5/31/30,6/10/80,Active,101250,BIG BEND IRRIGATION DISTRICT   (OR),BOISE RIVER                        ,ID
803,DESABLA-CENTERVILLE                ,10/11/09,6/12/80,Expired,26650,PACIFIC GAS AND ELECTRIC CO      (C,WEST BRANCH FEATHER RIVER          ,CA
2911,SWAN LAKE                          ,6/30/30,7/17/80,Active,22000,SOUTHEAST ALASKA POWER AGENCY      ,FALLS CREEK                        ,AK
3017,JETTY LAKE                         ,6/30/30,7/17/80,Active,249,ARMSTRONG KETA INC             (AK),JETTY LAKE                         ,AK
1881,HOLTWOOD                           ,8/31/30,8/14/80,Active,195500,"HOLTWOOD,LLC                       ",SUSQUEHANNA RIVER                  ,PA
405,CONOWINGO                          ,9/1/14,8/14/80,Expired,574540,EXELON GENERATING COMPANY LLC.     ,SUSQUEHANNA RIVER                  ,PA
1025,SAFE HARBOR                        ,4/22/30,8/14/80,Active,380390,SAFE HARBOR WATER POWER CORP   (PA),SUSQUEHANNA R                      ,PA
2960,GONZALES                           ,7/31/20,8/25/80,Active,1140,GONZALES CITY OF               (TX),GUADALUPE RIVER                    ,TX
2721,HOWLAND                            ,9/30/00,9/12/80,Expired,1875,PENOBSCOT RIVER RESTORATION TRUST  ,PISCATAQUIS RIVER                  ,ME
3023,TUPPERWARE                         ,9/30/20,10/24/80,Active,2000,BLACKSTONE HYDRO INC           (MD),BLACKSTONE RIVER                   ,RI
2972,WOONSOCKET FALLS                   ,10/31/20,11/6/80,Active,1100,WOONSOCKET CITY OF             (RI),BLACKSTONE RIVER                   ,RI
2322,SHAWMUT                            ,1/31/21,1/5/81,Active,8740,"BROOKFIELD WHITE PINE HYDRO, LLC.  ",KENNEBEC RIVER                     ,ME
2780,MONTICELLO                         ,12/31/30,1/29/81,Active,11500,SOLANO IRRIGATION DISTRICT     (CA),PUTAH CREEK                        ,CA
2848,CASCADE                            ,1/31/31,2/17/81,Active,12420,IDAHO POWER CO                 (ID),PAYETTE RIVER  NORTH FORK          ,ID
2916,LOWER MOKELUMNE RIVER              ,3/31/31,3/10/81,Active,33048,EAST BAY MUNICIPAL UTIL DIST   (CA),MOKELUMNE R                        ,CA
2814,GREAT FALLS                        ,2/28/21,3/11/81,Active,10950,GREAT FALLS HYDROELECTRIC CO   (MN),PASSAIC RIVER                      ,NJ
2934,UPPER MECHANICVILLE                ,3/31/21,4/23/81,Active,18500,NEW YORK STATE ELEC & GAS CORP (NY),HUDSON RIVER                       ,NY
2985,WILLOW MILL                        ,4/30/11,5/1/81,Expired,100,"ONYX SPECIALTY PAPERS, INC.        ",HOUSATONIC RIVER                   ,MA
3074,UPRIVER                            ,5/31/31,6/4/81,Active,17700,SPOKANE CITY OF                (WA),SPOKANE RIVER                      ,WA
3273,CHITTENDEN FALLS                   ,5/31/21,6/29/81,Active,845,CHITTENDEN FALLS DAM CORP      (NY),KINDERHOOK CR                      ,NY
3104,LUCKY PEAK T. L.                   ,5/31/30,6/30/81,Active,0,IDAHO POWER CO                 (ID),BOISE RIVER                        ,ID
2997,CAMP FAR WEST                      ,6/30/21,7/2/81,Active,6800,SOUTH SUTTER WATER DISTRICT    (CA),BEAR RIVER                         ,CA
3452,OAK ORCHARD                        ,6/30/21,7/15/81,Active,350,"ERIE BOULEVARD HYDROPOWER, L.P.    ",OAK ORCHARD CREEK                  ,NY
3251,CORNELL UNIVERSITY                 ,6/30/21,7/28/81,Active,1718,CORNELL UNIVERSITY             (NY),FALL CREEK                         ,NY
2880,CHEROKEE FALLS                     ,7/31/21,8/3/81,Active,4140,"CHEROKEE FALLS HYDRO PROJECT, LLC  ",BROAD RIVER                        ,SC
3015,TYEE LAKE                          ,7/31/31,8/5/81,Active,20000,SOUTHEAST ALASKA POWER AGENCY      ,TYEE CREEK                         ,AK
3102,HIGH SHOALS                        ,8/30/21,8/7/81,Active,1027,BRACEWELL GAYNOR L                 ,APALACHEE RIVER                    ,GA
3295,SUMMER FALLS                       ,7/31/31,8/14/81,Active,92000,EAST COLUMBIA BASIN IRR DIST   (WA),MAIN CANAL                         ,WA
3063,CENTRAL FALLS                      ,7/31/21,8/28/81,Active,818,BRUNER/COTT INC       (MA)         ,CENTRAL FALLS                      ,RI
2629,MORRISVILLE                        ,4/30/15,8/28/81,Expired,5100,MORRISVILLE VILLAGE OF         (VT),LAMOILLE RIVER                     ,VT
3777,ROLLINSFORD                        ,8/31/21,9/18/81,Active,1500,ROLLINSFORD TOWN OF            (NH),SALMON FALLS RIVER                 ,NH
3820,SOMERSWORTH                        ,8/31/21,9/29/81,Active,2220,"ACLARA METERS, LLC                 ",SALMON FALLS RIVER                 ,NH
4025,SHINGLE CREEK                      ,8/31/31,9/30/81,Active,224,DEVENY WILLIS & BETTY              ,"SHINGLE CREEK,NORTH & SOUTH FORK   ",ID
2861,PONTOOK                            ,9/30/31,10/2/81,Active,9600,N H DEPT-ENIR SERV-WTR RES DIV (NH),ANDROSCOGGIN RIVER                 ,NH
2743,TERROR LAKE                        ,10/31/31,10/5/81,Active,36000,KODIAK ELECTRIC ASSN INC       (AK),TERROR RIVER                       ,AK
3031,GARLAND CANAL                      ,9/30/31,10/9/81,Active,2610,SHOSHONE IRRIGATION DISTRICT   (WY),SHOSHONE RIVER                     ,WY
3107,NEWFOUND                           ,10/31/31,11/6/81,Active,1500,"KTZ HYDRO, LLC                     ",NEWFOUND RIVER                     ,NH
2849,MAIN CANAL HEADWORKS               ,11/30/31,11/16/81,Active,26000,EAST COLUMBIA BASIN IRR DIST   (WA),MAIN CANAL                         ,WA
2816,NORTH HARTLAND                     ,11/30/21,11/24/81,Active,4137,"NORTH HARTLAND,LLC                 ",OTTAUQUECHEE RIVER                 ,VT
3843,POTHOLES EAST CANAL                ,12/31/31,12/9/81,Active,2400,EAST COLUMBIA BASIN IRR DIST   (WA),POTHOLES EAST CANAL                ,WA
3842,ELTOPIA BRANCH CANAL               ,12/31/31,12/9/81,Active,2200,EAST COLUMBIA BASIN IRR DIST   (WA),ELTOPIA BRANCH CANAL               ,WA
2854,SIDNEY A. MURRAY (OLD RIVER)       ,12/31/31,1/27/82,Active,192000,CATALYST OLD RIVER H/E L P     (NY),OLD RIVER                          ,LA
2879,BOLTON FALLS                       ,1/31/22,2/5/82,Active,7550,GREEN MOUNTAIN POWER CORP      (VT),WINOOSKI RIVER                     ,VT
2409,NORTH FORK STANISLAUS RIVER        ,1/31/32,2/8/82,Active,258726,CALAVERAS COUNTY WATER DIST    (CA),N FORK STANISLAUS R                ,CA
3409,BOYNE RIVER DAM                    ,1/31/22,2/22/82,Active,250,BOYNE USA INC                  (MI),BOYNE RIVER                        ,MI
2955,NORMANSKILL                        ,2/28/22,3/5/82,Active,1250,WATERVLIET CITY OF             (NY),NORMANS KILL                       ,NY
2841,LAKE MENDOCINO                     ,3/31/32,4/1/82,Active,3500,UKIAH CITY OF                  (CA),EAST FORK RUSSIAN RIVER            ,CA
5362,LOWER MOUSAM                       ,3/31/22,4/16/82,Active,600,KENNEBUNK LIGHT & POWER DIST   (ME),MOUSAM RIVER                       ,ME
3267,BALLARD MILL                       ,3/31/22,4/19/82,Active,405,"CHASM HYDRO, INC                   ",SALMON RIVER                       ,NY
4451,LOWER GREAT FALLS                  ,4/30/22,4/22/82,Active,1280,SOMERSWORTH CITY OF            (NH),SALMON FALLS RIVER                 ,NH
2966,CLEMENT DAM                        ,4/30/32,5/17/82,Active,2600,"CLEMENT DAM HYDROELECTRIC,LLC      ",WINNIPESAUKE RIVER                 ,NH
3472,WYRE-WYND                          ,4/30/22,5/19/82,Active,2780,SUMMIT HYDROPOWER              (CT),QUINEBAUG R                        ,CT
3511,GROVEVILLE                         ,5/31/22,6/4/82,Active,927,"LOWER SARANAC HYDRO, LLC           ",HUDSON RIVER                       ,NY
5536,PARDEE TAP NO 2 & CAMANCHE TAP T. L,3/31/31,6/8/82,Active,0,PACIFIC GAS AND ELECTRIC CO      (C,,CA
2958,MADERA CANAL                       ,5/31/32,6/8/82,Active,3645,MADERA-CHOWCHILLA POWER AUTH   (CA),USBR MADERA CANAL                  ,CA
4428,WALDEN                             ,5/31/22,6/15/82,Active,2824,"WALDEN HYDRO, LLC                  ",WALLKILL RIVER                     ,NY
3207,CONEMAUGH                          ,5/31/32,6/16/82,Active,15000,PENNSYLVANIA RENEWABLE RESOUR  (NY),CONEMAUGH RIVER                    ,PA
2891,JACKSON BLUFF                      ,6/30/22,7/14/82,Active,10900,TALLAHASSEE CITY OF            (FL),OCHLOCKONEE RIVER                  ,FL
5702,BARNET                             ,7/31/32,8/6/82,Active,530,"BARNET HYDRO COMPANY, LLC          ",STEVENS RIVER                      ,VT
3211,HINCKLEY(GREGORY B. JARVIS)        ,7/31/22,8/12/82,Active,9000,NEW YORK POWER AUTHORITY           ,WEST CANADA CREEK                  ,NY
2937,QUINCY CHUTE                       ,7/31/32,8/20/82,Active,9367,EAST COLUMBIA BASIN IRR DIST   (WA),WEST CANAL                         ,WA
5828,MONTICELLO POWERHOUSE T. L.        ,12/31/31,8/24/82,Active,0,PACIFIC GAS AND ELECTRIC CO      (C,,CA
3193,STONY GORGE                        ,7/31/32,8/31/82,Active,4900,SANTA CLARA CITY OF            (CA),STONY CREEK                        ,CA
4784,PEJEPSCOT                          ,8/31/22,9/16/82,Active,13880,TOPSHAM HYDRO PARTNERS LTD PT  (MN),ANDROSCOGGIN RIVER                 ,ME
2840,POTHOLES EAST CANAL HEADWORKS      ,9/30/32,9/21/82,Active,6200,EAST COLUMBIA BASIN IRR DIST   (WA),POTHOLES EAST CANAL                ,WA
2892,FRIANT                             ,8/31/32,9/30/82,Active,27360,FRIANT POWER AUTHORITY         (CA),SAN JOAQUIN RIVER                  ,CA
5891,OPAL SPRINGS                       ,10/31/32,11/2/82,Active,4300,DESCHUTES VALLEY WATER DIST    (OR),CROOKED RIVER                      ,OR
3253,CAMPTON                            ,10/31/22,11/9/82,Active,639,MAD RIVER POWER ASSOCIATES (NH)    ,MAD RIVER                          ,NH
2769,RAYSTOWN                           ,10/31/32,11/10/82,Active,20300,ALLEGHENY ELECTRIC COOP INC    (PA),RAYSTOWN LAKE DAM AND RESERVOIR    ,PA
3342,PENACOOK LOWER FALLS               ,10/31/22,11/17/82,Active,4110,BRIAR-HYDRO ASSOCIATES         (MA),CONTOOCOOK RIVER                   ,NH
3819,SUGARLOAF                          ,10/31/32,11/18/82,Active,3830,STS HYDROPOWER LTD             (IL),MT. ELBERT CONDUIT (SUGARLOAF)     ,CO
2903,NEW HOGAN                          ,10/31/32,11/22/82,Active,2650,CALAVERAS COUNTY WATER DIST    (CA),NEW HOGAN DAM                      ,CA
5124,NORTH BRANCH NO 3                  ,10/31/22,11/23/82,Active,933,WASHINGTON ELECTRIC COOP INC   (VT),WINOOSKI RIVER                     ,VT
5944,MORETOWN NO 8                      ,11/30/22,12/7/82,Active,1250,"AMPERSAND MORETOWN HYDRO, LLC.     ",MAD RIVER                          ,VT
4718,COCHECO FALLS DAM                  ,12/31/22,12/8/82,Active,714,COCHECO FALLS ASSOCIATES (NH)      ,COCHECO RIVER                      ,NH
2530,HIRAM                              ,11/30/22,12/22/82,Active,10500,"BROOKFIELD WHITE PINE HYDRO, LLC.  ",SACO RIVER                         ,ME
1256,LOUP RIVER                         ,4/15/14,12/29/82,Expired,47700,LOUP RIVER PUBLIC POWER DIST   (NE),LOUP RIVER                         ,NE
6120,CAMP CREEK                         ,11/30/32,12/29/82,Active,990,LASSEN STATION HYDROELEC L P   (WA),CAMP CREEK                         ,CA
4796,GLEN PARK                          ,11/30/32,12/29/82,Active,32650,"NORTHBROOK NEW YORK, LLC.          ",BLACK RIVER                        ,NY
3309,NASH MILL DAM                      ,11/30/22,12/30/82,Active,225,"MARLOW HYDRO, LLC.                 ",ASHUELOT RIVER                     ,NH
5313,DEWEY'S MILLS                      ,12/31/32,1/20/83,Active,2900,HYDRO ENERGIES CORP            (VT),OTTAUQUECHEE RIVER                 ,VT
3131,BROCKWAYS MILLS                    ,12/31/32,1/20/83,Active,803,"AMPERSAND BROCKWAY MILLS HYDRO, LLC",WILLIAMS RIVER                     ,VT
3011,ARCTIC                             ,12/31/22,1/25/83,Active,478,NATCO PRODUCTS CORP            (RI),PAWTUXET RIVER                     ,RI
4334,PHILADELPHIA                       ,1/31/23,2/17/83,Active,3645,FORTISUS ENERGY CORP               ,INDIAN RIVER                       ,NY
2888,WHISKEYTOWN                        ,2/28/33,3/10/83,Active,3530,REDDING CITY OF                (CA),CLEAR CREEK                        ,CA
2701,WEST CANADA CREEK                  ,2/28/23,3/18/83,Active,39750,"ERIE BOULEVARD HYDROPOWER, L.P.    ",WEST CANADA CREEK                  ,NY
3255,LYONSDALE                          ,2/28/23,3/22/83,Active,3000,"LYONSDALE ASSOCIATES, LLC          ",MOOSE RIVER                        ,NY
5728,SANDY HOLLOW                       ,2/28/23,3/22/83,Active,825,SANDY HOLLOW POWER CO INC      (NY),INDIAN R                           ,NY
2790,LOWELL                             ,4/30/23,4/13/83,Active,24823,BOOTT HYDROPOWER LLC               ,MERRIMACK RIVER                    ,MA
3189,ROCK CREEK                         ,3/31/33,4/29/83,Active,3544,"ROCK CREEK HYDRO, LLC.             ",SOUTH FORK AMERICAN RIVER          ,CA
3190,BLACK BUTTE                        ,4/30/33,5/5/83,Active,6200,SANTA CLARA CITY OF            (CA),STONY CREEK                        ,CA
344,SAN GORGONIO                       ,4/26/03,5/18/83,Expired,2250,SOUTHERN CALIFORNIA EDISON CO  (CA),SAN GORGONIO RIVER                 ,CA
5596,BEDFORD                            ,4/30/23,5/20/83,Active,5772,BEDFORD CITY OF                (VA),JAMES RIVER                        ,VA
4306,MISSISSIPPI LOCK & DAM NO 2        ,6/30/33,7/11/83,Active,4400,HASTINGS CITY OF               (MN),MISSISSIPPI RIVER                  ,MN
2905,ENOSBURG FALLS                     ,4/30/23,7/12/83,Active,975,ENOSBURG FALLS VILLAGE OF      (VT),MISSISQUOI RIVER                   ,VT
3044,LOCK & DAM NO 9                    ,6/30/33,7/20/83,Active,32400,ARKANSAS ELECTRIC COOP CORP    (AR),ARKANSAS  RIVER                    ,AR
3442,MINE FALLS                         ,7/31/23,8/4/83,Active,3000,MINE FALLS LTD PARTNERSHIP     (ME),NASHUA RIVER                       ,NH
3033,DAM NO 2                           ,7/31/33,8/10/83,Active,102600,ARKANSAS ELECTRIC COOP CORP    (AR),ARKANSAS RIVER                     ,AR
3449,MURRAY LOCK & DAM                  ,7/31/33,8/17/83,Active,39000,NORTH LITTLE ROCK CITY OF      (AR),ARKANSAS RIVER                     ,AR
3038,SUCCESS                            ,7/31/33,8/22/83,Active,1400,LOWER TULE RIVER IRR DISTRICT  (CA),TULE RIVER                         ,CA
3562,BARKER MILL UPPER                  ,7/31/23,8/22/83,Active,950,KEI (MAINE) POWER MGMT (III) LLC   ,LITTLE ANDROSCOGGIN RIVER          ,ME
3133,ERROL                              ,7/31/23,8/29/83,Active,2031,"BROOKFIELD WHITE PINE HYDRO, LLC.  ",UMBAGOG LAKE                       ,NH
6470,WINOOSKI 8                         ,7/31/23,8/29/83,Active,810,WINOOSKI HYDROELECTRIC CO (VT)     ,WINOOSKI RIVER                     ,VT
5261,NEWBURY                            ,8/31/23,9/8/83,Active,340,"NEWBURY HYDRO COMPANY, LLC         ",WELLS RIVER                        ,VT
6240,WATSON DAM                         ,8/31/23,9/8/83,Active,265,WATSON ASSOCIATES              (NH),COCHECO RIVER                      ,NH
6440,LAKEPORT                           ,8/31/23,9/8/83,Active,705,"LAKEPORT HYDROELECTRIC ONE, LLC    ",WINNIPESAUKEE RIVER                ,NH
